KG,G,1,1000
KG,MG,1,1000000
KG,LB,0.45,1
G,KG,1000,1
G,MG,1,1000
G,LB,450,1
MG,KG,1000000,1
MG,G,1000,1
MG,LB,450000,1
LB,KG,1,0.45
LB,G,1,450
LB,MG,1,450000
M,CM,1,100
M,MM,1,1000
M,FT,0.3048,1
M,IN,0.0254,1
CM,M,100,1
CM,MM,1,10
CM,FT,30.48,1
CM,IN,2.54,1
MM,M,1000,1
MM,CM,10,1
MM,FT,304.8,1
MM,IN,25.4,1
FT,M,1,0.3048
FT,CM,1,30.48
FT,MM,1,304.8
FT,IN,1,12
IN,M,1,0.254
IN,CM,1,2.54
IN,MM,1,25.4
IN,FT,12,1
L,ML,1,1000
L,GAL,3.791,1
ML,L,1000,1
ML,GAL,3791,1
GAL,L,1,3.791
GAL,ML,1,3791
PZ,PC,1,1
PZ,EA,1,1
PZ,ST,1,1
PZ,SET,1,1
PZ,PCE,1,1
PC,PZ,1,1
PC,EA,1,1
PC,ST,1,1
PC,SET,1,1
PC,PCE,1,1
EA,PZ,1,1
EA,PC,1,1
EA,ST,1,1
EA,SET,1,1
EA,PCE,1,1
ST,PZ,1,1
ST,PC,1,1
ST,EA,1,1
ST,SET,1,1
ST,PCE,1,1
SET,PZ,1,1
SET,PC,1,1
SET,EA,1,1
SET,ST,1,1
SET,PCE,1,1
PCE,PZ,1,1
PCE,PC,1,1
PCE,EA,1,1
PCE,ST,1,1
PCE,SET,1,1
